"National Provider Number (NPI)"	"Provider Name Prefix"	"First Name of Provider"	"Middle Initial of Provider"	"Last Name of Provider"	"Suffix of Provider"	"Physician / Non-Physician"	"Specialty Type  (area of medicine)"	"Street Address"	"Street Address 2"	"City"	"State"	"County"	"Zip"	"Network IDs"	"FIPS Code"	"ProvDirIND01of0218973IA252D20140722T115902"
"13"	"1868582745"	NA	"CALLIS"	NA	"ADAMSON"	NA	"Non-Physician"	"013 ENT/Otolaryngology"	"250 W 9TH ST"	NA	"Huffman"	"TX"	"countyb"	"77336"	"NEN001"	"25002"	NA
"14"	"1006945020"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Non-Physician"	"029 Psychiatry"	"250 W 9TH ST"	NA	"Hackensack"	"NJ"	"countyb"	"07602"	"NEN001"	"25002"	NA
"15"	"1527850027"	NA	"TRAISURE"	NA	"ABEURISHAL"	NA	"Physician"	"030 Pulmonary Disease"	"250 W 9TH ST"	NA	"Little River"	"SC"	"countya"	"29566"	"MIN003"	"25002"	NA
"16"	"1207353215"	NA	"GREG"	NA	"JOHNSON"	NA	"Non-Physician"	"029 Psychiatry"	"250 W 9TH ST"	NA	"Browns Valley"	"MN"	"countya"	"56219"	"MIN003"	"25002"	NA
"17"	"1559026589"	NA	"GREG"	NA	"ACEMAN"	NA	"Non-Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Middlebourne"	"WV"	"countyb"	"26149"	"NEN001"	"15004"	NA
"18"	"1808137230"	NA	"PRESTON"	NA	"JOHNSON"	NA	"Physician"	"062 Heart/Lung Transplant Program"	"250 W 9TH ST"	NA	"Honey Creek"	"IA"	"countya"	"51542"	"MIN003"	"15004"	NA
"19"	"1690198319"	NA	"DARELL"	NA	"ACEMAN"	NA	"Physician"	"033 Urology"	"250 W 9TH ST"	NA	"Minneapolis"	"MN"	"countyb"	"55448"	"MIN003"	"25002"	NA
"20"	"1420537941"	NA	"RANDOLPH"	NA	"ABEURISHAL"	NA	"Non-Physician"	"013 ENT/Otolaryngology"	"250 W 9TH ST"	NA	"Palo Alto"	"CA"	"countya"	"94303"	"MIN003"	"15004"	NA
"21"	"1863051657"	NA	"GREG"	NA	"JOHNSON"	NA	"Physician"	"101 Pediatrics"	"250 W 9TH ST"	NA	"Anasco"	"PR"	"countya"	"00610"	"MIN003"	"13006"	NA
"22"	"1735878251"	NA	"DARELL"	NA	"OBLAICH"	NA	"Non-Physician"	"007 Allergy and Immunology"	"250 W 9TH ST"	NA	"Omaha"	"NE"	"countya"	"68132"	"MIN003"	"25002"	NA
"23"	"1894519087"	NA	"RANDOLPH"	NA	"BLAKELY"	NA	"Physician"	"041 Cardiac Surgery Program"	"250 W 9TH ST"	NA	"Yorkville"	"NY"	"countya"	"13495"	"MIN003"	"15004"	NA
"24"	"1427834158"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Physician"	"010 Chiropractor"	"250 W 9TH ST"	NA	"Rockville"	"NE"	"countyb"	"68871"	"NEN001"	"13006"	NA
"25"	"1008992523"	NA	"EDWARD"	NA	"JOHNSON"	NA	"Non-Physician"	"055 Home Health"	"250 W 9TH ST"	NA	"Mequon"	"WI"	"countyb"	"53097"	"MIN003"	"13006"	NA
"26"	"1275836129"	NA	"TRAISURE"	NA	"ACUNA-001"	NA	"Non-Physician"	"022 Radiation Oncology"	"250 W 9TH ST"	NA	"Williamstown"	"NY"	"countyb"	"13493"	"MIN003"	"25002"	NA
"27"	"1508608740"	NA	"RANDOLPH"	NA	"ACUNA-001"	NA	"Non-Physician"	"Dental - General"	"250 W 9TH ST"	NA	"Mount Pocono"	"PA"	"countya"	"18344"	"MIN003"	"13006"	NA
"28"	"1196925854"	NA	"GREG"	NA	"ACUNA-001"	NA	"Non-Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Nesbit"	"MS"	"countyb"	"38651"	"NEN001"	"13006"	NA
"29"	"1195730226"	NA	"DARELL"	NA	"ACEMAN"	NA	"Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"Waltham"	"MA"	"countyb"	"02452"	"NEN001"	"25002"	NA
"30"	"1632278200"	NA	"DARELL"	NA	"BLAKELY"	NA	"Physician"	"055 Home Health"	"250 W 9TH ST"	NA	"McSherrystown"	"PA"	"countya"	"17344"	"MIN003"	"13006"	NA
"31"	"1117470248"	NA	"TERALIN"	NA	"ABEURISHAL"	NA	"Non-Physician"	"044 Outpatient Dialysis"	"250 W 9TH ST"	NA	"Muncy Valley"	"PA"	"countyb"	"17758"	"MIN003"	"15004"	NA
"32"	"1287731337"	NA	"TRAISURE"	NA	"BLAKE"	NA	"Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Gibsonville"	"NC"	"countyb"	"27249"	"NEN001"	"25002"	NA
"33"	"1525741192"	NA	"PRESTON"	NA	"ABEURISHAL"	NA	"Physician"	"001 General Practice"	"250 W 9TH ST"	NA	"Hewitt"	"NJ"	"countyb"	"07421"	"NEN001"	"25002"	NA
"34"	"1704010654"	NA	"EDWARD"	NA	"BLAKELY"	NA	"Non-Physician"	"064 Kidney Transplant Program"	"250 W 9TH ST"	NA	"Sextons Creek"	"KY"	"countya"	"40983"	"NEN001"	"13006"	NA
"35"	"1379550592"	NA	"RANDOLPH"	NA	"ACUNA-001"	NA	"Non-Physician"	"006 Primary Care – Nurse Practitioner"	"250 W 9TH ST"	NA	"Walnut"	"CA"	"countyb"	"91788"	"MIN003"	"25002"	NA
"36"	"1925168825"	NA	"GEANA"	NA	"BLAKE"	NA	"Physician"	"Dental - Endodontist"	"250 W 9TH ST"	NA	"Fairfield"	"OH"	"countya"	"45014"	"NEN001"	"13006"	NA
"37"	"1182004969"	NA	"RANDOLPH"	NA	"OBLAICH"	NA	"Physician"	"052 Psychiatric Hospital"	"250 W 9TH ST"	NA	"Woods Cross"	"UT"	"countya"	"84087"	"MIN003"	"13006"	NA
"38"	"1982205428"	NA	"CALLIS"	NA	"ADAMSON"	NA	"Physician"	"047 Diagnostic Radiology (including Ambulatory Health Care Facilities – Radiology and Magnetic Resonance Imaging (MRI)"	"250 W 9TH ST"	NA	"Nashville"	"TN"	"countya"	"37205"	"NEN001"	"13006"	NA
"39"	"1939141143"	NA	"CALLIS"	NA	"JOHNSON"	NA	"Physician"	"048 Mammography"	"250 W 9TH ST"	NA	"Fort Worth"	"TX"	"countya"	"76110"	"NEN001"	"25002"	NA
"40"	"1890458647"	NA	"PRESTON"	NA	"ABEURISHAL"	NA	"Physician"	"017 Infectious Diseases"	"250 W 9TH ST"	NA	"Bohemia"	"NY"	"countyb"	"11716"	"NEN001"	"15004"	NA
"41"	"1897953125"	NA	"GREG"	NA	"BLAKELY"	NA	"Non-Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"Whitman"	"WV"	"countyb"	"25652"	"MIN003"	"15004"	NA
"42"	"1412141791"	NA	"EDWARD"	NA	"ABEURISHAL"	NA	"Non-Physician"	"017 Infectious Diseases"	"250 W 9TH ST"	NA	"Boyers"	"PA"	"countyb"	"16018"	"MIN003"	"13006"	NA
"43"	"1576493449"	NA	"TERALIN"	NA	"BLAKE"	NA	"Non-Physician"	"Dental - Orthodontist"	"250 W 9TH ST"	NA	"Ava"	"OH"	"countyb"	"43711"	"NEN001"	"13006"	NA
"44"	"1447823813"	NA	"DARELL"	NA	"BLAKE"	NA	"Physician"	"056 Durable Medical Equipment"	"250 W 9TH ST"	NA	"Port Townsend"	"WA"	"countyb"	"98368"	"NEN001"	"15004"	NA
"45"	"1659562452"	NA	"EDWARD"	NA	"ABEURISHAL"	NA	"Non-Physician"	"011 Dermatology"	"250 W 9TH ST"	NA	"Bruceville"	"TX"	"countya"	"76630"	"NEN001"	"25002"	NA
"46"	"1762807301"	NA	"GREG"	NA	"BLAKE"	NA	"Non-Physician"	"045 Surgical Services (Ambulatory Surgical Centers/Outpatient)"	"250 W 9TH ST"	NA	"Daleville"	"VA"	"countya"	"24083"	"MIN003"	"15004"	NA
"47"	"1799369227"	NA	"CALLIS"	NA	"BLAKELY"	NA	"Physician"	"Dental - General"	"250 W 9TH ST"	NA	"Mahnomen"	"MN"	"countyb"	"56557"	"NEN001"	"15004"	NA
"48"	"1367968879"	NA	"CALLIS"	NA	"ACEMAN"	NA	"Non-Physician"	"056 Durable Medical Equipment"	"250 W 9TH ST"	NA	"Tolstoy"	"SD"	"countyb"	"57475"	"NEN001"	"13006"	NA
"49"	"1863746455"	NA	"DARELL"	NA	"BLAKELY"	NA	"Physician"	"047 Diagnostic Radiology (including Ambulatory Health Care Facilities – Radiology and Magnetic Resonance Imaging (MRI)"	"250 W 9TH ST"	NA	"Santa Barbara"	"CA"	"countya"	"93103"	"NEN001"	"15004"	NA
"50"	"1697329996"	NA	"RANDOLPH"	NA	"ACUNA-001"	NA	"Non-Physician"	"010 Chiropractor"	"250 W 9TH ST"	NA	"Princeton"	"ID"	"countya"	"83857"	"MIN003"	"15004"	NA
"51"	"1894993487"	NA	"TRAISURE"	NA	"BLAKE"	NA	"Non-Physician"	"045 Surgical Services (Ambulatory Surgical Centers/Outpatient)"	"250 W 9TH ST"	NA	"Los Angeles"	"CA"	"countya"	"90080"	"NEN001"	"15004"	NA
"52"	"1187061869"	NA	"DARELL"	NA	"OBLAICH"	NA	"Non-Physician"	"055 Home Health"	"250 W 9TH ST"	NA	"Los Angeles"	"CA"	"countyb"	"90091"	"MIN003"	"15004"	NA
"53"	"1491174432"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Physician"	"065 Liver Transplant Program"	"250 W 9TH ST"	NA	"Lexington"	"KY"	"countya"	"40576"	"MIN003"	"15004"	NA
"54"	"1689970909"	NA	"TERALIN"	NA	"ABEURISHAL"	NA	"Physician"	"Dental - Orthodontist"	"250 W 9TH ST"	NA	"Port Washington"	"NY"	"countya"	"11050"	"NEN001"	"13006"	NA
"55"	"1670138105"	NA	"RANDOLPH"	NA	"OBLAICH"	NA	"Physician"	"Dental - Periodontist"	"250 W 9TH ST"	NA	"Orwell"	"VT"	"countyb"	"05760"	"MIN003"	"15004"	NA
"56"	"1794450673"	NA	"PRESTON"	NA	"OBLAICH"	NA	"Non-Physician"	"047 Diagnostic Radiology (including Ambulatory Health Care Facilities – Radiology and Magnetic Resonance Imaging (MRI)"	"250 W 9TH ST"	NA	"Green Bay"	"WI"	"countyb"	"54303"	"NEN001"	"25002"	NA
"57"	"1562694784"	NA	"GREG"	NA	"ACEMAN"	NA	"Physician"	"066 Lung Transplant Program"	"250 W 9TH ST"	NA	"Indianapolis"	"IN"	"countyb"	"46216"	"NEN001"	"13006"	NA
"58"	"1990180082"	NA	"PRESTON"	NA	"ADAMSON"	NA	"Physician"	"040 General Acute Care Hospital"	"250 W 9TH ST"	NA	"Mulkeytown"	"IL"	"countya"	"62865"	"MIN003"	"15004"	NA
"59"	"1235554728"	NA	"TERALIN"	NA	"ADAMSON"	NA	"Non-Physician"	"Dental - Orthodontist"	"250 W 9TH ST"	NA	"Grand Isle"	"ME"	"countya"	"04746"	"NEN001"	"15004"	NA
"60"	"1377611233"	NA	"RANDOLPH"	NA	"ABEURISHAL"	NA	"Physician"	"014 Gastroenterology"	"250 W 9TH ST"	NA	"Waco"	"TX"	"countya"	"76708"	"MIN003"	"13006"	NA
"61"	"1993542312"	NA	"EDWARD"	NA	"OBLAICH"	NA	"Physician"	"045 Surgical Services (Ambulatory Surgical Centers/Outpatient)"	"250 W 9TH ST"	NA	"Chattanooga"	"TN"	"countya"	"37401"	"NEN001"	"15004"	NA
"62"	"1194997622"	NA	"GEANA"	NA	"ABEURISHAL"	NA	"Physician"	"008 Cardiovascular Disease"	"250 W 9TH ST"	NA	"Mickleton"	"NJ"	"countya"	"08056"	"NEN001"	"25002"	NA
"63"	"1093335922"	NA	"PRESTON"	NA	"BLAKE"	NA	"Physician"	"010 Chiropractor"	"250 W 9TH ST"	NA	"Chappell"	"NE"	"countyb"	"69129"	"NEN001"	"25002"	NA
"64"	"1146492002"	NA	"RANDOLPH"	NA	"JOHNSON"	NA	"Non-Physician"	"002 Family Medicine"	"250 W 9TH ST"	NA	"Hobart"	"IN"	"countyb"	"46342"	"NEN001"	"13006"	NA
"65"	"1961968855"	NA	"GREG"	NA	"OBLAICH"	NA	"Physician"	"035 Cardiothoracic Surgery"	"250 W 9TH ST"	NA	"Government Camp"	"OR"	"countya"	"97028"	"NEN001"	"13006"	NA
"66"	"1709234819"	NA	"GEANA"	NA	"ADAMSON"	NA	"Non-Physician"	"057 Ambulatory Health Care Facilities - Infusion Therapy/Oncology/Radiology"	"250 W 9TH ST"	NA	"Starr"	"SC"	"countyb"	"29684"	"NEN001"	"13006"	NA
"67"	"1106691802"	NA	"PRESTON"	NA	"ABEURISHAL"	NA	"Physician"	"046 Skilled Nursing Facilities"	"250 W 9TH ST"	NA	"Pineville"	"PA"	"countya"	"18946"	"MIN003"	"25002"	NA
"68"	"1418590700"	NA	"TRAISURE"	NA	"OBLAICH"	NA	"Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Dora"	"MO"	"countyb"	"65637"	"NEN001"	"13006"	NA
"69"	"1557228593"	NA	"TERALIN"	NA	"OBLAICH"	NA	"Non-Physician"	"015 General Surgery"	"250 W 9TH ST"	NA	"Baltimore"	"MD"	"countyb"	"21212"	"NEN001"	"15004"	NA
"70"	"1726915821"	NA	"EDWARD"	NA	"ADAMSON"	NA	"Non-Physician"	"034 Vascular Surgery"	"250 W 9TH ST"	NA	"Fredonia"	"WI"	"countya"	"53021"	"NEN001"	"13006"	NA
"71"	"1273868055"	NA	"PRESTON"	NA	"BLAKELY"	NA	"Physician"	"040 General Acute Care Hospital"	"250 W 9TH ST"	NA	"Honolulu"	"HI"	"countya"	"96801"	"MIN003"	"15004"	NA
"72"	"1636339029"	NA	"GREG"	NA	"BLAKE"	NA	"Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"Albany"	"NY"	"countyb"	"12207"	"NEN001"	"15004"	NA
"73"	"1421553857"	NA	"RANDOLPH"	NA	"BLAKELY"	NA	"Non-Physician"	"033 Urology"	"250 W 9TH ST"	NA	"New Haven"	"CT"	"countya"	"06531"	"NEN001"	"25002"	NA
"74"	"1740663563"	NA	"RANDOLPH"	NA	"ACEMAN"	NA	"Physician"	"027 Plastic Surgery"	"250 W 9TH ST"	NA	"Summerville"	"SC"	"countyb"	"29483"	"NEN001"	"15004"	NA
"75"	"1924496974"	NA	"TRAISURE"	NA	"OBLAICH"	NA	"Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Fort Wayne"	"IN"	"countya"	"46869"	"NEN001"	"15004"	NA
"76"	"1466331896"	NA	"GEANA"	NA	"ACEMAN"	NA	"Non-Physician"	"Dental - General"	"250 W 9TH ST"	NA	"Pulaski"	"GA"	"countya"	"30451"	"NEN001"	"25002"	NA
"77"	"1641363498"	NA	"TRAISURE"	NA	"BLAKELY"	NA	"Non-Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Crystal Falls"	"MI"	"countya"	"49920"	"NEN001"	"15004"	NA
"78"	"1677351138"	NA	"TERALIN"	NA	"BLAKE"	NA	"Non-Physician"	"061 Heart Transplant Program"	"250 W 9TH ST"	NA	"Honobia"	"OK"	"countya"	"74549"	"MIN003"	"25002"	NA
"79"	"1301563826"	NA	"RANDOLPH"	NA	"BLAKE"	NA	"Non-Physician"	"055 Home Health"	"250 W 9TH ST"	NA	"Borger"	"TX"	"countyb"	"79008"	"NEN001"	"25002"	NA
"80"	"1640675059"	NA	"TRAISURE"	NA	"JOHNSON"	NA	"Physician"	"013 ENT/Otolaryngology"	"250 W 9TH ST"	NA	"Burlington"	"MA"	"countya"	"01805"	"MIN003"	"15004"	NA
"81"	"1939209076"	NA	"PRESTON"	NA	"ABEURISHAL"	NA	"Non-Physician"	"050 Occupational Therapist"	"250 W 9TH ST"	NA	"Olympia"	"WA"	"countyb"	"98501"	"NEN001"	"15004"	NA
"82"	"1587199282"	NA	"RANDOLPH"	NA	"ABEURISHAL"	NA	"Physician"	"016 Gynecology (OB/GYN)"	"250 W 9TH ST"	NA	"Moville"	"IA"	"countyb"	"51039"	"NEN001"	"25002"	NA
"83"	"1296836339"	NA	"TRAISURE"	NA	"BLAKE"	NA	"Physician"	"Pharmacy"	"250 W 9TH ST"	NA	"Newport"	"AR"	"countyb"	"72112"	"NEN001"	"13006"	NA
"84"	"1363078271"	NA	"GREG"	NA	"OBLAICH"	NA	"Physician"	"055 Home Health"	"250 W 9TH ST"	NA	"Warsaw"	"NC"	"countya"	"28398"	"MIN003"	"25002"	NA
"85"	"1175259488"	NA	"EDWARD"	NA	"ACEMAN"	NA	"Physician"	"046 Skilled Nursing Facilities"	"250 W 9TH ST"	NA	"Leicester"	"NC"	"countyb"	"28748"	"MIN003"	"25002"	NA
"86"	"1393068857"	NA	"EDWARD"	NA	"ABEURISHAL"	NA	"Non-Physician"	"035 Cardiothoracic Surgery"	"250 W 9TH ST"	NA	"Huntington"	"MA"	"countya"	"01050"	"NEN001"	"13006"	NA
"87"	"1508145826"	NA	"EDWARD"	NA	"BLAKELY"	NA	"Physician"	"Dental - General"	"250 W 9TH ST"	NA	"Mendon"	"MA"	"countyb"	"01756"	"MIN003"	"25002"	NA
"88"	"1212146121"	NA	"GREG"	NA	"ADAMSON"	NA	"Non-Physician"	"034 Vascular Surgery"	"250 W 9TH ST"	NA	"Denver"	"CO"	"countyb"	"80291"	"NEN001"	"13006"	NA
"89"	"1924935932"	NA	"GREG"	NA	"ABEURISHAL"	NA	"Physician"	"Dental - Periodontist"	"250 W 9TH ST"	NA	"Opelousas"	"LA"	"countya"	"70570"	"MIN003"	"15004"	NA
"90"	"1410921955"	NA	"TRAISURE"	NA	"BLAKE"	NA	"Physician"	"044 Outpatient Dialysis"	"250 W 9TH ST"	NA	"Gretna"	"LA"	"countyb"	"70054"	"MIN003"	"25002"	NA
"91"	"1210254758"	NA	"GREG"	NA	"JOHNSON"	NA	"Non-Physician"	"025 Orthopedic Surgery"	"250 W 9TH ST"	NA	"Lyons"	"CO"	"countya"	"80540"	"MIN003"	"13006"	NA
"92"	"1498045219"	NA	"RANDOLPH"	NA	"BLAKELY"	NA	"Physician"	"050 Occupational Therapist"	"250 W 9TH ST"	NA	"Livingston"	"NY"	"countyb"	"12541"	"NEN001"	"25002"	NA
"93"	"1950947390"	NA	"CALLIS"	NA	"BLAKE"	NA	"Physician"	"065 Liver Transplant Program"	"250 W 9TH ST"	NA	"El Paso"	"TX"	"countya"	"79984"	"NEN001"	"13006"	NA
"94"	"1767299687"	NA	"CALLIS"	NA	"BLAKELY"	NA	"Non-Physician"	"054 Orthotics and Prosthetics"	"250 W 9TH ST"	NA	"Scottsdale"	"AZ"	"countya"	"85267"	"NEN001"	"13006"	NA
"95"	"1056145416"	NA	"GREG"	NA	"ADAMSON"	NA	"Non-Physician"	"029 Psychiatry"	"250 W 9TH ST"	NA	"Fort Lauderdale"	"FL"	"countyb"	"33306"	"MIN003"	"15004"	NA
"96"	"1100674202"	NA	"RANDOLPH"	NA	"ADAMSON"	NA	"Non-Physician"	"014 Gastroenterology"	"250 W 9TH ST"	NA	"Manassas"	"VA"	"countyb"	"20112"	"NEN001"	"15004"	NA
"97"	"1731581242"	NA	"DARELL"	NA	"ADAMSON"	NA	"Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Waialua"	"HI"	"countya"	"96791"	"MIN003"	"15004"	NA
"98"	"1928533987"	NA	"EDWARD"	NA	"OBLAICH"	NA	"Physician"	"033 Urology"	"250 W 9TH ST"	NA	"New Port Richey"	"FL"	"countya"	"34656"	"MIN003"	"25002"	NA
"99"	"1330252437"	NA	"DARELL"	NA	"JOHNSON"	NA	"Physician"	"018 Nephrology"	"250 W 9TH ST"	NA	"Ashland"	"MO"	"countya"	"65010"	"MIN003"	"15004"	NA
"100"	"1512246257"	NA	"EDWARD"	NA	"OBLAICH"	NA	"Physician"	"041 Cardiac Surgery Program"	"250 W 9TH ST"	NA	"Lake Orion"	"MI"	"countya"	"48359"	"NEN001"	"15004"	NA
"101"	"1823073409"	NA	"EDWARD"	NA	"ACUNA-001"	NA	"Physician"	"012 Endocrinology"	"250 W 9TH ST"	NA	"Arroyo"	"PR"	"countya"	"00714"	"MIN003"	"13006"	NA
"102"	"1553100647"	NA	"TERALIN"	NA	"OBLAICH"	NA	"Non-Physician"	"011 Dermatology"	"250 W 9TH ST"	NA	"Clearfield"	"UT"	"countyb"	"84015"	"NEN001"	"15004"	NA
"103"	"1510325399"	NA	"RANDOLPH"	NA	"BLAKELY"	NA	"Non-Physician"	"101 Pediatrics"	"250 W 9TH ST"	NA	"Evansville"	"IN"	"countyb"	"47708"	"NEN001"	"15004"	NA
"104"	"1665119669"	NA	"TERALIN"	NA	"ACUNA-001"	NA	"Physician"	"001 General Practice"	"250 W 9TH ST"	NA	"Arlington"	"VA"	"countya"	"22222"	"MIN003"	"25002"	NA
"105"	"1942590540"	NA	"EDWARD"	NA	"JOHNSON"	NA	"Non-Physician"	"055 Home Health"	"250 W 9TH ST"	NA	"San Jose"	"CA"	"countya"	"95153"	"MIN003"	"25002"	NA
"106"	"1198580956"	NA	"DARELL"	NA	"BLAKELY"	NA	"Non-Physician"	"020 Neurological Surgery"	"250 W 9TH ST"	NA	"San Diego"	"CA"	"countyb"	"92196"	"NEN001"	"25002"	NA
"107"	"1932936138"	NA	"TERALIN"	NA	"OBLAICH"	NA	"Non-Physician"	"002 Family Medicine"	"250 W 9TH ST"	NA	"Fowlstown"	"GA"	"countya"	"39852"	"MIN003"	"15004"	NA
"108"	"1832425441"	NA	"EDWARD"	NA	"JOHNSON"	NA	"Non-Physician"	"057 Ambulatory Health Care Facilities - Infusion Therapy/Oncology/Radiology"	"250 W 9TH ST"	NA	"Lockhart"	"TX"	"countya"	"78644"	"MIN003"	"13006"	NA
"109"	"1709223596"	NA	"RANDOLPH"	NA	"BLAKELY"	NA	"Non-Physician"	"001 General Practice"	"250 W 9TH ST"	NA	"Keystone"	"IA"	"countyb"	"52249"	"MIN003"	"25002"	NA
"110"	"1684892480"	NA	"TERALIN"	NA	"BLAKE"	NA	"Non-Physician"	"Dental - General"	"250 W 9TH ST"	NA	"Urbandale"	"IA"	"countyb"	"50322"	"NEN001"	"25002"	NA
"111"	"1729697584"	NA	"GEANA"	NA	"ABEURISHAL"	NA	"Physician"	"008 Cardiovascular Disease"	"250 W 9TH ST"	NA	"Vancouver"	"WA"	"countya"	"98682"	"MIN003"	"15004"	NA
"112"	"1278462872"	NA	"CALLIS"	NA	"ACEMAN"	NA	"Non-Physician"	"033 Urology"	"250 W 9TH ST"	NA	"Red Cloud"	"NE"	"countya"	"68970"	"NEN001"	"25002"	NA
"113"	"1017346202"	NA	"EDWARD"	NA	"BLAKELY"	NA	"Non-Physician"	"008 Cardiovascular Disease"	"250 W 9TH ST"	NA	"West Newton"	"MA"	"countyb"	"02465"	"NEN001"	"25002"	NA
"114"	"1313776195"	NA	"GREG"	NA	"OBLAICH"	NA	"Non-Physician"	"052 Psychiatric Hospital"	"250 W 9TH ST"	NA	"New Britain"	"CT"	"countyb"	"06052"	"NEN001"	"13006"	NA
"115"	"1357019251"	NA	"CALLIS"	NA	"OBLAICH"	NA	"Physician"	"023 Ophthalmology"	"250 W 9TH ST"	NA	"Creola"	"OH"	"countya"	"45622"	"NEN001"	"25002"	NA
"116"	"1850785209"	NA	"RANDOLPH"	NA	"BLAKELY"	NA	"Non-Physician"	"004 Geriatrics"	"250 W 9TH ST"	NA	"Hadley"	"KY"	"countya"	"42235"	"NEN001"	"25002"	NA
"117"	"1838839964"	NA	"TRAISURE"	NA	"ACEMAN"	NA	"Physician"	"017 Infectious Diseases"	"250 W 9TH ST"	NA	"Allen"	"MI"	"countyb"	"49227"	"NEN001"	"13006"	NA
"118"	"1082837846"	NA	"DARELL"	NA	"OBLAICH"	NA	"Non-Physician"	"041 Cardiac Surgery Program"	"250 W 9TH ST"	NA	"Ribera"	"NM"	"countya"	"87560"	"MIN003"	"13006"	NA
"119"	"1683704205"	NA	"PRESTON"	NA	"ABEURISHAL"	NA	"Physician"	"004 Geriatrics"	"250 W 9TH ST"	NA	"Bay City"	"TX"	"countya"	"77414"	"NEN001"	"15004"	NA
"120"	"1107918842"	NA	"GREG"	NA	"OBLAICH"	NA	"Physician"	"Dental - Periodontist"	"250 W 9TH ST"	NA	"Pinewood"	"SC"	"countyb"	"29125"	"MIN003"	"13006"	NA
"121"	"1460987547"	NA	"TRAISURE"	NA	"JOHNSON"	NA	"Non-Physician"	"066 Lung Transplant Program"	"250 W 9TH ST"	NA	"Geneseo"	"KS"	"countyb"	"67444"	"NEN001"	"15004"	NA
